ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
TK1801-0074|FASE A - CERRAMIENTO DE VIVIENDA|||cavalos|01/01/2018 00:00|22/05/2018 00:00|Primera Fase del Proyecto.|1|||||
TK1801-0075|Excavación manual|TK1801-0074||cavalos; uresidente|01/01/2018 00:00|08/01/2018 00:00||0|||12.3||33.74
TK1801-0076|Carpeta de Ho Po e=4 cm|TK1801-0074||cavalos; uresidente|09/01/2018 00:00|15/01/2018 00:00||0|||1.2||39.76
TK1801-0077|Zapata de Ho Ao|TK1801-0074||cavalos|16/01/2018 00:00|22/01/2018 00:00||0|||8.2||2178.39
TK1801-0078|Columna de Ho Ao|TK1801-0074||cavalos|23/01/2018 00:00|29/01/2018 00:00||0|||3.8||3782.5
TK1801-0079|Cimiento de Ho Ao|TK1801-0074||cavalos|30/01/2018 00:00|15/02/2018 00:00||0|||2.9||2178.39
TK1801-0080|Capa aisladora vertical|TK1801-0074||cavalos|01/02/2018 00:00|15/02/2018 00:00||0|||58.4||76.62
TK1801-0081|Muro de ladrillo ceramico de 6H|TK1801-0074||cavalos|16/02/2018 00:00|20/02/2018 00:00||0|||320||103.99
TK1801-0082|Revoque de cemento planchado|TK1801-0074||cavalos|21/02/2018 00:00|28/02/2018 00:00||0|||640||58.16
TK1801-0083|Relleno y compactación manual c/material|TK1801-0074||cavalos|05/03/2018 00:00|21/03/2018 00:00||0|||7.8||107.21
TK1801-0084|Contrapiso de ladrillo adobito|TK1801-0074||cavalos|26/03/2018 00:00|09/04/2018 00:00||0|||64.8||63.15
TK1801-0085|Piso de cerámica esmaltada (30x30)|TK1801-0074||cavalos|10/04/2018 00:00|23/04/2018 00:00||0|||64.8||186
TK1801-0086|Zócalo de cerámica esmaltada|TK1801-0074||cavalos|24/04/2018 00:00|07/05/2018 00:00||0|||185||46.42
TK1801-0087|Pintura látex en muros (interiores)|TK1801-0074||cavalos|08/05/2018 00:00|22/05/2018 00:00||0|||640||23.05
