code_categorie;code_product;description
2023;2023154;"TEE DE PVC  DE 1/2""                                                                                 "
2025;2025003;"CODO DE PVC DE 1/2""                                                                                 "
306;306009;GUANTES DE ALGODON CON PALMA DE GOMA                                                                
2933;2933025;TUBO FLUORESCENTE T10 O T12, 40W/220V/STANDART/LUZ BLANCA                                           
2933;2933027;TUBO FLUORESCENTE 20W SEMI CALIDO                                                                   
2924;2924018;PILAS ALCALINAS AA                                                                                  
2162;2162164;KIT DE REPARACION A-1038-A 3,5 GPF (DIAFRAGMA DE FLUXOR O FLUXOMETRO)                               
2925;2925023;REACTANCIA ELECTRONICA 2.20 W/220 - 240 V.                                                          
2933;2933025;TUBO FLUORESCENTE T10 O T12, 40W/220V/STANDART/LUZ BLANCA                                           
2914;2914083;FOCO AHORRADOR MINI ESPIRAL DE 19 W/E27, LUZ 2700 K/IRC80/8000 HRS 220-240 V/1100                   
2933;2933025;TUBO FLUORESCENTE T10 O T12, 40W/220V/STANDART/LUZ BLANCA                                           
9943;9943006;CLAVO DE CALAMINA                                                                                   
9944;9944165;EMPAQUETADURA ANCHOR (SELLO ANTI FUGA P/INODORO)                                                    
2942;2942263;"PLACA MODULAR TOMACORRIENTE DOBLE NEMA SOBREPUESTO 2X4"" 10A/250V                                    "
9945;9945006;CABLE BAJO GOMA DE 3 X 12                                                                           
2924;2924018;PILAS ALCALINAS AA                                                                                  
2141;2141033;TORNILLO 5 X 30 MM                                                                                  
2145;2145001;VOLANDA PLANA M - 5                                                                                 
2925;2925023;REACTANCIA ELECTRONICA 2.20 W/220 - 240 V.                                                          
9945;9945085;TERMICO BIPOLAR DE 2 X 32 AMP                                                                       
2916;2916001;PORTA FUSIBLE GRANDE                                                                                
1602;1602031;SILICONA TRANSPARENTE                                                                               
2153;2153003;CHICOTILLO RIGIDO CROMADO DE 40 CM.                                                                 
2162;2162150;SOLDADURA DE ESTAÑO                                                                                 
9944;9944024;GOMA DE REGISTRO PARA CAJA SIFONADA                                                                 
9944;9944114;NIPLE EXAGONAL DE 1/2 PUL                                                                           
2162;2162164;KIT DE REPARACION A-1038-A 3,5 GPF (DIAFRAGMA DE FLUXOR O FLUXOMETRO)                               
2170;2170002;GRIFO LLAVE FINAL CON CUELLO LARGO Y CON PITON PARA MANGUERA                                        
2170;2170003;GRIFO LLAVE FINAL CROMADO PARA LAVAMANOS PICO LARGO                                                 
9944;9944170;CINTA TEFLON DE 3/4                                                                                 
2170;2170001;GRIFERIA MEZCLADORA DE MESON PARA LAVAMANOS DE PICO LARGO                                           
1206;1206074;LIQUIDO DESINCRUSTANTE (1 LITRO)                                                                    
2942;2942263;"PLACA MODULAR TOMACORRIENTE DOBLE NEMA SOBREPUESTO 2X4"" 10A/250V                                    "
9945;9945006;CABLE BAJO GOMA DE 3 X 12                                                                           
9945;9945021;CLAVIJA TIPO NEMA CON TIERRA                                                                        
2153;2153003;CHICOTILLO RIGIDO CROMADO DE 40 CM.                                                                 
2906;2906169;CABLE MONOPOLAR DE CU MULTIFILAR 2.5 MM2.                                                           
2914;2914083;FOCO AHORRADOR MINI ESPIRAL DE 19 W/E27, LUZ 2700 K/IRC80/8000 HRS 220-240 V/1100                   
9945;9945065;SOQUET DE FOCO PORCELANA                                                                            
3131;3131223;BROCHA Nº 2                                                                                         
1602;1602033;SILICONA DE ALTA TEMPERATURA                                                                        
3131;3131291;EMPAQUE (CLINGERITA)                                                                                
9945;9945015;CABLE MONOPOLAR SILICONADO # 14                                                                     
9945;9945065;SOQUET DE FOCO PORCELANA                                                                            
2914;2914083;FOCO AHORRADOR MINI ESPIRAL DE 19 W/E27, LUZ 2700 K/IRC80/8000 HRS 220-240 V/1100                   
1602;1602031;SILICONA TRANSPARENTE                                                                               
2149;2149013;CANALETA DE CALAMINA PLANA CORTE 85                                                                 
2162;2162164;KIT DE REPARACION A-1038-A 3,5 GPF (DIAFRAGMA DE FLUXOR O FLUXOMETRO)                               
9946;9946020;MANGUERA PARA GAS DE 5/16 P                                                                         
